+----------------+------+--------+---------+
|   series id    | year | period |  value  |
+----------------+------+--------+---------+
| CUUR0000SA0L1E | 2010 |  M12   | 221.795 |
| CUUR0000SA0L1E | 2010 |  M11   | 222.077 |
| CUUR0000SA0L1E | 2010 |  M10   | 222.079 |
| CUUR0000SA0L1E | 2010 |  M09   | 221.907 |
| CUUR0000SA0L1E | 2010 |  M08   | 221.551 |
| CUUR0000SA0L1E | 2010 |  M07   | 221.258 |
| CUUR0000SA0L1E | 2010 |  M06   | 221.265 |
| CUUR0000SA0L1E | 2010 |  M05   | 221.193 |
| CUUR0000SA0L1E | 2010 |  M04   | 221.166 |
| CUUR0000SA0L1E | 2010 |  M03   | 221.059 |
| CUUR0000SA0L1E | 2010 |  M02   | 220.602 |
| CUUR0000SA0L1E | 2010 |  M01   | 220.086 |
| CUUR0000SA0L1E | 2009 |  M12   | 220.025 |
| CUUR0000SA0L1E | 2009 |  M11   | 220.384 |
| CUUR0000SA0L1E | 2009 |  M10   | 220.731 |
| CUUR0000SA0L1E | 2009 |  M09   | 220.137 |
| CUUR0000SA0L1E | 2009 |  M08   | 219.596 |
| CUUR0000SA0L1E | 2009 |  M07   | 219.350 |
| CUUR0000SA0L1E | 2009 |  M06   | 219.283 |
| CUUR0000SA0L1E | 2009 |  M05   | 219.128 |
| CUUR0000SA0L1E | 2009 |  M04   | 219.143 |
| CUUR0000SA0L1E | 2009 |  M03   | 218.639 |
| CUUR0000SA0L1E | 2009 |  M02   | 217.685 |
| CUUR0000SA0L1E | 2009 |  M01   | 216.719 |
| CUUR0000SA0L1E | 2008 |  M12   | 216.100 |
| CUUR0000SA0L1E | 2008 |  M11   | 216.690 |
| CUUR0000SA0L1E | 2008 |  M10   | 217.023 |
| CUUR0000SA0L1E | 2008 |  M09   | 216.862 |
| CUUR0000SA0L1E | 2008 |  M08   | 216.476 |
| CUUR0000SA0L1E | 2008 |  M07   | 216.045 |
| CUUR0000SA0L1E | 2008 |  M06   | 215.553 |
| CUUR0000SA0L1E | 2008 |  M05   | 215.180 |
| CUUR0000SA0L1E | 2008 |  M04   | 215.059 |
| CUUR0000SA0L1E | 2008 |  M03   | 214.866 |
| CUUR0000SA0L1E | 2008 |  M02   | 213.866 |
| CUUR0000SA0L1E | 2008 |  M01   | 213.138 |
| CUUR0000SA0L1E | 2007 |  M12   | 212.356 |
| CUUR0000SA0L1E | 2007 |  M11   | 212.435 |
| CUUR0000SA0L1E | 2007 |  M10   | 212.318 |
| CUUR0000SA0L1E | 2007 |  M09   | 211.628 |
| CUUR0000SA0L1E | 2007 |  M08   | 211.111 |
| CUUR0000SA0L1E | 2007 |  M07   | 210.756 |
| CUUR0000SA0L1E | 2007 |  M06   | 210.474 |
| CUUR0000SA0L1E | 2007 |  M05   | 210.316 |
| CUUR0000SA0L1E | 2007 |  M04   | 210.311 |
| CUUR0000SA0L1E | 2007 |  M03   | 209.923 |
| CUUR0000SA0L1E | 2007 |  M02   | 209.112 |
| CUUR0000SA0L1E | 2007 |  M01   | 208.009 |
| CUUR0000SA0L1E | 2006 |  M12   |  207.3  |
| CUUR0000SA0L1E | 2006 |  M11   |  207.6  |
| CUUR0000SA0L1E | 2006 |  M10   |  207.8  |
