iter	Passed	Remaining
0	175	34848
1	309	30606
2	433	28434
3	519	25453
4	640	24993
5	776	25103
6	906	24988
7	1062	25504
8	1201	25500
9	1332	25308
10	1472	25302
11	1646	25799
12	1776	25549
13	1918	25489
14	2050	25295
15	2178	25052
16	2312	24898
17	2457	24845
18	2604	24810
19	2767	24905
20	2900	24721
21	3035	24556
22	3173	24424
23	3309	24272
24	3432	24030
25	3579	23958
26	3719	23832
27	3853	23671
28	4019	23700
29	4158	23562
30	4313	23514
31	4457	23403
32	4587	23213
33	4723	23061
34	4859	22907
35	4992	22744
36	5123	22572
37	5257	22414
38	5393	22263
39	5530	22121
40	5664	21966
41	5793	21794
42	5922	21623
43	6050	21452
44	6179	21285
45	6315	21143
46	6449	20994
47	6588	20862
48	6727	20731
49	6851	20555
50	6984	20405
51	7109	20234
52	7246	20098
53	7381	19957
54	7511	19801
55	7669	19722
56	7811	19596
57	7945	19452
58	8083	19317
59	8222	19185
60	8364	19060
61	8529	18984
62	8660	18832
63	8791	18682
64	8922	18531
65	9046	18367
66	9180	18224
67	9305	18062
68	9442	17926
69	9609	17845
70	9741	17699
71	9910	17618
72	10054	17491
73	10177	17329
74	10310	17183
75	10477	17094
76	10606	16943
77	10744	16805
78	10875	16657
79	11007	16511
80	11142	16369
81	11271	16219
82	11404	16076
83	11541	15937
84	11665	15782
85	11798	15640
86	11922	15485
87	12047	15333
88	12174	15183
89	12300	15033
90	12443	14904
91	12599	14790
92	12744	14662
93	12874	14517
94	13007	14376
95	13136	14231
96	13267	14088
97	13390	13937
98	13514	13787
99	13650	13650
100	13778	13505
101	13909	13364
102	14035	13217
103	14169	13079
104	14304	12942
105	14428	12794
106	14574	12667
107	14700	12522
108	14829	12380
109	14964	12243
110	15089	12099
111	15149	11903
112	15276	11761
113	15409	11624
114	15531	11479
115	15664	11342
116	15809	11215
117	15949	11083
118	16076	10942
119	16198	10798
120	16332	10663
121	16457	10521
122	16578	10378
123	16619	10186
124	16744	10046
125	16869	9907
126	16991	9766
127	17127	9634
128	17184	9458
129	17324	9328
130	17460	9196
131	17575	9053
132	17714	8924
133	17842	8788
134	17971	8652
135	18097	8516
136	18228	8382
137	18356	8247
138	18483	8111
139	18614	7977
140	18737	7840
141	18866	7705
142	18996	7571
143	19129	7439
144	19263	7306
145	19393	7172
146	19525	7039
147	19658	6907
148	19790	6773
149	19916	6638
150	19971	6480
151	20115	6352
152	20239	6217
153	20332	6073
154	20454	5938
155	20583	5805
156	20712	5672
157	20836	5538
158	20960	5404
159	21047	5261
160	21178	5130
161	21305	4997
162	21432	4865
163	21572	4735
164	21699	4603
165	21829	4471
166	21952	4337
167	22079	4205
168	22208	4073
169	22358	3945
170	22543	3823
171	22716	3698
172	22856	3567
173	22997	3436
174	23134	3304
175	23278	3174
176	23405	3041
177	23534	2908
178	23571	2765
179	23698	2633
180	23826	2501
181	23900	2363
182	24031	2232
183	24165	2101
184	24319	1971
185	24459	1841
186	24634	1712
187	24769	1581
188	24935	1451
189	25140	1323
190	25296	1191
191	25425	1059
192	25549	926
193	25687	794
194	25837	662
195	26000	530
196	26187	398
197	26368	266
198	26527	133
199	26662	0
